season,Team,Elo
2024,Tennessee,1616.5266820619966
2024,Iowa State,1605.6064648212077
2024,Louisville,1605.470779462929
2024,Florida,1602.39959489208
2024,LSU,1599.2802729181153
2024,Colorado,1598.5287684240427
2024,Illinois,1596.352467142153
2024,Missouri,1593.2845035240516
2024,TCU,1591.8678155362863
2024,Minnesota,1581.918276176234
2024,Uconn,1580.285997688449
2024,Kansas State,1578.1378426170186
2024,Alabama,1577.0385184205115
2024,Sam Houston,1576.0952669254534
2024,Iowa,1575.417461600563
2024,Baylor,1575.2554970222172
2024,Tulane,1573.215944476577
2024,Duke,1572.7058551206235
2024,Liberty,1568.212326554288
2024,James Madison,1563.0107693811935
2024,Louisiana,1557.6631333066903
2024,Texas State,1557.5073527161069
2024,Buffalo,1552.4854132400271
2024,Northern Illinois,1545.3083001504726
2024,Texas A&M,1544.767684920442
2024,Georgia Southern,1543.5794205424145
2024,South Alabama,1542.9672253976494
2024,Michigan,1542.2876900698368
2024,USC,1540.4891694836738
2024,Virginia Tech,1539.8188005558843
2024,UTSA,1534.1345065781338
2024,Washington State,1525.8694856178874
2024,Western Kentucky,1522.8760304371701
2024,Arkansas,1519.3111822584672
2024,Colorado State,1517.2904746108961
2024,Texas Tech,1515.3725001450716
2024,Kansas,1513.9839003836462
2024,Bowling Green,1512.6047659104345
2024,East Carolina,1512.4106065221943
2024,Boston College,1511.3969805960598
2024,Nebraska,1507.3671767019575
2024,California,1504.1560748600937
2024,Rutgers,1502.0160258508868
2024,Arkansas State,1499.6124772685248
2024,Old Dominion,1499.316625500819
2024,Vanderbilt,1496.552114446247
2024,Washington,1492.4280915139723
2024,North Carolina,1488.4881400071745
2024,Georgia Tech,1487.5838409201885
2024,Toledo,1487.3418103920706
2024,Fresno State,1475.8216209688078
2024,South Florida,1475.0313500389273
2024,Utah,1471.3411037443875
2024,West Virginia,1470.8250593874723
2024,Florida International,1468.957944772724
2024,Auburn,1467.5002845701913
2024,San Jose State,1465.365910047635
2024,Cincinnati,1460.5999530836307
2024,Air Force,1458.980020996022
2024,Oklahoma,1456.973913409286
2024,Pittsburgh,1455.9444667833982
2024,Western Michigan,1455.1118059538662
2024,New Mexico,1449.9209021214715
2024,UCLA,1446.180899759493
2024,App State,1444.8846031881362
2024,North Texas,1441.7970877587284
2024,Troy,1437.5693709769948
2024,Rice,1431.9043600095201
2024,Virginia,1430.750424003725
2024,Charlotte,1428.9854319779495
2024,Akron,1428.7518146132159
2024,Wisconsin,1427.0317904857343
2024,Louisiana Tech,1422.1251847991482
2024,UTEP,1421.9681799135546
2024,Utah State,1416.8031898511717
2024,Wyoming,1416.2613657543366
2024,Hawai'i,1412.4638829580103
2024,Houston,1412.3183097638926
2024,Coastal Carolina,1410.1277640365558
2024,Oregon State,1407.5815551809592
2024,UCF,1407.5187783842289
2024,Wake Forest,1401.7956854381405
2024,UAB,1395.1131619584116
2024,Michigan State,1394.875654869125
2024,Eastern Michigan,1394.7464759365669
2024,Arizona,1394.1491427839037
2024,UL Monroe,1390.476770900382
2024,Northwestern,1382.6143104499006
2024,Kentucky,1380.293421655047
2024,NC State,1379.253865188803
2024,Central Michigan,1374.8250638460436
2024,Temple,1370.97519908102
2024,Nevada,1365.420923412236
2024,Florida Atlantic,1364.2985611087852
2024,Maryland,1363.9409043500298
2024,Stanford,1359.9444269768312
2024,Oklahoma State,1357.7904846610757
2024,New Mexico State,1357.172505505895
2024,Ball State,1355.0979961839932
2024,Georgia State,1344.044967183064
2024,San Diego State,1343.8731514761826
2024,Mississippi State,1337.7649072301258
2024,Florida State,1334.2444796667246
2024,Kennesaw State,1324.1185452050381
2024,Middle Tennessee,1319.5429480458295
2024,Massachusetts,1318.5893020518806
2024,Purdue,1279.8236387181562
2024,Tulsa,1275.563325259266
2024,Southern Miss,1272.784173562607
2024,Kent State,1268.8605128397196
