season,game_date,Team,opponent,Result,point_differential,Team_Elo_Rating
2021,2021-09-24,Middle Tennessee,Charlotte,L,-3,1338.7755593288148
2021,2021-09-24,NC State,Virginia,W,20,1536.7599079561712
2021,2021-09-24,Syracuse,Liberty,W,3,1461.4176400830115
2021,2021-09-24,UNLV,Fresno State,L,-8,1308.1606895349933
2021,2021-09-24,Virginia,Wake Forest,L,-20,1462.9628481630327
2021,2021-09-24,Wake Forest,Virginia,W,20,1639.046341776775
2021,2021-09-25,Air Force,Florida Atlantic,W,24,1621.12208463068
2021,2021-09-25,Akron,Ohio State,L,-52,1387.8493489685902
2021,2021-09-25,Alabama,Southern Miss,W,49,1539.113782750599
2021,2021-09-25,Arizona,Oregon,L,-22,1405.4425024955624
2021,2021-09-25,Arizona State,Colorado,W,22,1565.2717690821144
2021,2021-09-25,Arkansas,Texas A&M,W,10,1726.2074366609345
2021,2021-09-25,Arkansas State,Tulsa,L,-7,1304.002179577363
2021,2021-09-25,Army,Miami (OH),W,13,1600.5182887111737
2021,2021-09-25,Auburn,Georgia State,W,10,1520.7411607610595
2021,2021-09-25,BYU,South Florida,W,8,1653.3610029542372
2021,2021-09-25,Ball State,Toledo,L,-10,1292.984163888501
2021,2021-09-25,Baylor,Iowa State,W,2,1610.7765083832974
2021,2021-09-25,Boise State,Utah State,W,24,1641.414432321226
2021,2021-09-25,Boston College,Missouri,W,7,1672.48708597952
2021,2021-09-25,Bowling Green,Minnesota,W,4,1490.4130502097207
2021,2021-09-25,Buffalo,Old Dominion,W,1,1409.6433507703084
2021,2021-09-25,California,Washington,L,-7,1417.5829365308007
2021,2021-09-25,Central Michigan,Florida International,W,4,1415.68273134107
2021,2021-09-25,Clemson,NC State,L,-6,1522.9503014000893
2021,2021-09-25,Coastal Carolina,Massachusetts,W,50,1620.8399742906918
2021,2021-09-25,Colorado,Arizona State,L,-22,1367.5132122734517
2021,2021-09-25,Colorado State,Iowa,L,-10,1507.9176649813537
2021,2021-09-25,Duke,Kansas,W,19,1577.4287264583154
2021,2021-09-25,Eastern Michigan,Texas State,W,38,1589.1176007659885
2021,2021-09-25,Florida,Tennessee,W,24,1597.199434969381
2021,2021-09-25,Florida Atlantic,Air Force,L,-24,1527.0381413987043
2021,2021-09-25,Florida International,Central Michigan,L,-4,1330.8545394353494
2021,2021-09-25,Florida State,Louisville,L,-8,1361.8601653197939
2021,2021-09-25,Georgia,Vanderbilt,W,62,1737.3026517900398
2021,2021-09-25,Georgia Southern,Louisiana,L,-8,1366.4136730936173
2021,2021-09-25,Georgia State,Auburn,L,-10,1458.671725903643
2021,2021-09-25,Georgia Tech,North Carolina,W,23,1508.3272596791478
2021,2021-09-25,Hawai'i,New Mexico State,W,20,1479.1586861293658
2021,2021-09-25,Houston,Navy,W,8,1599.7361084603951
2021,2021-09-25,Illinois,Purdue,L,-4,1349.5364741167436
2021,2021-09-25,Indiana,Western Kentucky,W,2,1462.6577764014844
2021,2021-09-25,Iowa,Colorado State,W,10,1665.2239603740454
2021,2021-09-25,Iowa State,Baylor,L,-2,1487.4365920710056
2021,2021-09-25,Kansas,Duke,L,-19,1326.8499193381695
2021,2021-09-25,Kansas State,Oklahoma State,L,-11,1563.0605893602517
2021,2021-09-25,Kent State,Maryland,L,-21,1397.5566546042533
2021,2021-09-25,Kentucky,South Carolina,W,6,1613.4856261275072
2021,2021-09-25,LSU,Mississippi State,W,3,1541.212712656703
2021,2021-09-25,Louisiana,Georgia Southern,W,8,1608.305839468047
2021,2021-09-25,Louisiana Tech,North Texas,W,7,1509.4810887762394
2021,2021-09-25,Louisville,Florida State,W,8,1586.4678992215631
2021,2021-09-25,Maryland,Kent State,W,21,1582.1920320509885
2021,2021-09-25,Massachusetts,Coastal Carolina,L,-50,1315.5192631718983
2021,2021-09-25,Memphis,UTSA,L,-3,1541.9926637111882
2021,2021-09-25,Miami (OH),Army,L,-13,1406.1465339907736
2021,2021-09-25,Michigan,Rutgers,W,7,1678.3132145868942
2021,2021-09-25,Michigan State,Nebraska,W,3,1611.252803013614
2021,2021-09-25,Minnesota,Bowling Green,L,-4,1552.5041482139695
2021,2021-09-25,Mississippi State,LSU,L,-3,1488.8854212844267
2021,2021-09-25,Missouri,Boston College,L,-7,1423.6521502039184
2021,2021-09-25,Navy,Houston,L,-8,1389.221636938396
2021,2021-09-25,Nebraska,Michigan State,L,-3,1494.6370306716526
2021,2021-09-25,New Mexico,UTEP,L,-7,1400.7995973714637
2021,2021-09-25,New Mexico State,Hawai'i,L,-20,1351.553503941389
2021,2021-09-25,North Carolina,Georgia Tech,L,-23,1540.0132468558338
2021,2021-09-25,North Texas,Louisiana Tech,L,-7,1321.0055399802025
2021,2021-09-25,Northwestern,Ohio,W,29,1486.2410126843934
2021,2021-09-25,Notre Dame,Wisconsin,W,28,1681.1162272071515
2021,2021-09-25,Ohio,Northwestern,L,-29,1339.5390116425383
2021,2021-09-25,Ohio State,Akron,W,52,1599.278165032066
2021,2021-09-25,Oklahoma,West Virginia,W,3,1611.121579231261
2021,2021-09-25,Oklahoma State,Kansas State,W,11,1630.9189581279336
2021,2021-09-25,Old Dominion,Buffalo,L,-1,1408.728840415879
2021,2021-09-25,Oregon,Arizona,W,22,1632.2985081000327
2021,2021-09-25,Oregon State,USC,W,18,1650.7952092681899
2021,2021-09-25,Purdue,Illinois,W,4,1500.604270579436
2021,2021-09-25,Rutgers,Michigan,L,-7,1541.0228983836528
2021,2021-09-25,SMU,TCU,W,8,1651.0266812204427
2021,2021-09-25,San Jose State,Western Michigan,L,-20,1438.9066354668603
2021,2021-09-25,South Carolina,Kentucky,L,-6,1460.9872754394114
2021,2021-09-25,South Florida,BYU,L,-8,1405.9078375565518
2021,2021-09-25,Southern Miss,Alabama,L,-49,1377.174545291839
2021,2021-09-25,Stanford,UCLA,L,-11,1557.0225567986279
2021,2021-09-25,TCU,SMU,L,-8,1506.9338798184892
2021,2021-09-25,Tennessee,Florida,L,-24,1407.9971761573308
2021,2021-09-25,Texas,Texas Tech,W,35,1572.8797311556557
2021,2021-09-25,Texas A&M,Arkansas,L,-10,1594.6234665650843
2021,2021-09-25,Texas State,Eastern Michigan,L,-38,1498.3312591714196
2021,2021-09-25,Texas Tech,Texas,L,-35,1475.1964847959377
2021,2021-09-25,Toledo,Ball State,W,10,1415.892035730751
2021,2021-09-25,Troy,UL Monroe,L,-13,1444.852476166347
2021,2021-09-25,Tulane,UAB,L,-7,1386.0006047964903
